model,year_1,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,is_fake
 Ioniq,2018,17998,Automatic,4029,Hybrid,135,78.5,1.6,0
 I30,2019,14998,Manual,6879,Petrol,145,41.5,1.4,0
 Tucson,2017,11000,Manual,37441,Diesel,30,61.7,1.7,0
 Tucson,2017,12400,Manual,37173,Diesel,145,61.7,1.7,0
 I10,2017,6890,Manual,20979,Petrol,145,60.1,1.0,0
 I800,2018,16990,Automatic,33587,Diesel,145,28.0,2.5,0
 I10,2019,10490,Manual,25,Petrol,145,49.6,1.0,0
 Tucson,2017,15500,Semi-Auto,20529,Diesel,145,57.6,1.7,0
 Tucson,2017,15500,Semi-Auto,13470,Diesel,125,57.6,1.7,0
 I10,2016,6800,Manual,15828,Petrol,20,60.1,1.0,0
 I10,2013,3750,Manual,34655,Petrol,20,61.4,1.2,0
 I10,2017,7200,Manual,8129,Petrol,20,60.1,1.0,0
 Kona,2018,13500,Manual,10647,Petrol,145,44.1,1.0,0
 Santa Fe,2019,29690,Semi-Auto,5299,Diesel,145,39.8,2.2,0
 Tucson,2017,17490,Manual,26111,Diesel,145,54.3,2.0,0
 I10,2014,5798,Manual,19422,Petrol,30,57.6,1.2,0
 Tucson,2017,12698,Manual,18624,Diesel,30,61.7,1.7,0
 Tucson,2017,13998,Semi-Auto,37578,Diesel,150,57.6,1.7,0
 I20,2015,6610,Manual,37360,Petrol,30,55.4,1.2,0
 I10,2017,6230,Manual,32360,Petrol,145,57.7,1.2,0
 Tucson,2017,13690,Manual,12520,Diesel,145,61.7,1.7,0
 Tucson,2017,12280,Manual,21594,Petrol,165,44.8,1.6,0
 Tucson,2018,14890,Manual,30342,Diesel,145,58.9,2.0,0
 Tucson,2018,17190,Semi-Auto,33026,Diesel,145,57.7,1.7,0
 Tucson,2018,17190,Semi-Auto,32082,Diesel,145,57.7,1.7,0
 I20,2017,8982,Manual,9207,Petrol,145,55.4,1.2,0
 Tucson,2016,10222,Manual,57535,Diesel,30,61.7,1.7,0
 Kona,2019,20000,Automatic,2041,Hybrid,140,52.3,1.6,0
 I10,2019,9990,Manual,25,Petrol,145,49.6,1.0,0
 I20,2016,6890,Manual,44007,Petrol,30,55.4,1.2,0
 Santa Fe,2018,28490,Semi-Auto,10500,Diesel,145,39.8,2.2,0
 I10,2017,8690,Manual,9966,Petrol,145,57.7,1.2,0
 Tucson,2017,15890,Manual,44473,Diesel,145,54.3,2.0,0
 Tucson,2017,13690,Manual,34559,Diesel,145,58.9,2.0,0
 I40,2015,10690,Manual,20660,Diesel,30,65.7,1.7,0
 Ioniq,2019,18600,Semi-Auto,10391,Hybrid,135,78.5,1.6,0
 Tucson,2018,17190,Semi-Auto,35400,Diesel,145,57.7,1.7,0
 Tucson,2016,15790,Manual,49000,Diesel,200,47.9,2.0,0
 I800,2019,18490,Manual,14329,Diesel,150,31.7,2.5,0
 I10,2019,9290,Manual,2811,Petrol,150,49.6,1.0,0
 I10,2020,12490,Manual,1136,Petrol,150,56.5,1.0,0
 Tucson,2017,15890,Manual,21390,Diesel,150,61.4,1.7,0
 I30,2019,15490,Manual,3000,Diesel,145,60.1,1.6,0
 I30,2016,7500,Manual,51236,Diesel,20,72.4,1.6,0
 I30,2016,8322,Manual,31026,Diesel,0,78.4,1.6,0
 Ioniq,2019,16990,Automatic,1533,Hybrid,135,78.5,1.6,0
 I10,2019,10991,Semi-Auto,6000,Petrol,145,47.9,1.2,0
 I10,2018,7491,Manual,16281,Petrol,145,60.1,1.0,0
 Tucson,2020,26995,Manual,133,Petrol,150,34.9,1.6,0
 Tucson,2020,27995,Manual,146,Diesel,150,48.7,1.6,0
 I30,2020,27995,Manual,1622,Petrol,150,34.0,2.0,0
 I10,2019,13495,Semi-Auto,2034,Petrol,150,47.9,1.2,0
 I10,2019,9250,Manual,10914,Petrol,150,57.6,1.2,0
 I20,2019,9000,Manual,7372,Petrol,150,46.3,1.2,0
 I20,2015,7799,Manual,19900,Petrol,125,51.4,1.4,0
 I10,2013,4499,Manual,37570,Petrol,20,61.4,1.2,0
 I10,2015,5999,Manual,40784,Petrol,20,60.1,1.0,0
 Tucson,2017,14698,Semi-Auto,37241,Diesel,125,57.6,1.7,0
 Kona,2018,15498,Manual,5913,Petrol,145,44.1,1.0,0
 I800,2016,13695,Manual,48859,Diesel,300,37.7,2.5,0
 Tucson,2016,14200,Manual,18093,Diesel,30,61.7,1.7,0
 Tucson,2018,18000,Manual,4188,Diesel,145,48.7,1.6,0
 Ioniq,2018,18000,Automatic,15850,Hybrid,135,78.5,1.6,0
 Ioniq,2019,20000,Semi-Auto,4541,Hybrid,135,78.5,1.6,0
 I30,2018,11000,Manual,13406,Petrol,145,56.5,1.0,0
 I20,2015,7000,Manual,27130,Petrol,30,55.4,1.2,0
 I10,2017,7500,Manual,35470,Petrol,145,57.7,1.2,0
 I10,2017,7500,Manual,22795,Petrol,30,57.7,1.2,0
 Kona,2019,15000,Manual,14587,Petrol,145,44.1,1.0,0
 I10,2018,7750,Manual,12544,Petrol,145,57.7,1.2,0
 I10,2017,7500,Manual,28076,Petrol,145,57.7,1.2,0
 I10,2017,7000,Manual,13506,Petrol,20,60.1,1.0,0
 I20,2016,7900,Manual,22431,Petrol,30,55.4,1.2,0
 I40,2013,6750,Automatic,60790,Diesel,205,47.1,1.7,0
 I30,2013,5500,Manual,65563,Petrol,150,47.1,1.4,0
 Tucson,2016,17298,Manual,18210,Diesel,125,58.9,2.0,0
 Kona,2019,14998,Manual,13145,Petrol,145,44.1,1.0,0
 Tucson,2015,10398,Manual,56525,Diesel,30,61.7,1.7,0
 I30,2017,9995,Manual,38588,Petrol,30,56.5,1.0,0
 Ioniq,2019,19995,Automatic,7386,Hybrid,135,256.8,1.6,0
 I10,2018,8000,Manual,10605,Petrol,145,60.1,1.0,0
 Kona,2019,15490,Manual,4346,Petrol,145,44.1,1.0,0
 Tucson,2019,26990,Semi-Auto,6648,Hybrid,145,50.4,1.6,0
 Tucson,2017,17200,Semi-Auto,30326,Diesel,145,57.7,1.7,0
 Tucson,2016,16000,Semi-Auto,16174,Diesel,125,57.6,1.7,0
 I30,2016,8390,Manual,20710,Diesel,0,78.4,1.6,0
 I20,2015,7890,Manual,41590,Petrol,125,51.4,1.4,0
 I10,2015,4590,Manual,62013,Petrol,20,60.1,1.0,0
 I30,2014,7295,Automatic,37000,Diesel,160,51.4,1.6,0
 I10,2016,7995,Automatic,11000,Petrol,145,47.9,1.2,0
 I10,2017,6999,Manual,30446,Petrol,145,57.7,1.2,0
 Tucson,2018,14670,Manual,15272,Petrol,145,34.9,1.6,0
 Santa Fe,2019,33970,Semi-Auto,3580,Diesel,145,39.8,2.2,0
 I10,2017,6870,Manual,21207,Petrol,20,60.1,1.0,0
 I800,2019,18500,Manual,14674,Diesel,145,31.7,2.5,0
 Tucson,2018,16990,Semi-Auto,31222,Diesel,150,57.7,1.7,0
 Tucson,2018,13990,Manual,23401,Petrol,150,44.8,1.6,0
 I10,2017,6530,Manual,27884,Petrol,30,57.6,1.2,0
 I20,2018,11000,Manual,4309,Petrol,150,55.4,1.2,0
 I10,2017,7000,Manual,14725,Petrol,20,60.1,1.0,0
 I30,2018,11000,Manual,17800,Petrol,150,45.6,1.0,0
 Santa Fe,2017,19500,Manual,26306,Diesel,205,47.1,2.2,0
 I20,2016,8000,Manual,19398,Petrol,30,58.9,1.2,0
 I40,2015,8000,Manual,53441,Diesel,30,62.8,1.7,0
 Kona,2018,16000,Manual,11282,Petrol,150,52.3,1.0,0
 I10,2019,10490,Manual,100,Petrol,145,49.6,1.0,0
 I10,2017,6999,Manual,30347,Petrol,145,57.7,1.2,0
 I20,2014,4999,Manual,48701,Petrol,30,57.6,1.2,0
 IX20,2017,8900,Manual,26987,Petrol,125,50.4,1.4,0
 I30,2016,10270,Semi-Auto,15850,Diesel,20,72.4,1.6,0
 I10,2019,10220,Manual,5,Petrol,145,49.6,1.0,0
 I10,2019,10220,Manual,100,Petrol,145,49.6,1.0,0
 I10,2019,10220,Manual,100,Petrol,145,49.6,1.0,0
 Kona,2019,23970,Automatic,9500,Hybrid,135,52.3,1.6,0
 Tucson,2017,15270,Manual,10330,Diesel,30,61.7,1.7,0
 I10,2018,9770,Manual,8337,Petrol,145,57.6,1.2,0
 I30,2019,23500,Manual,21,Petrol,150,34.0,2.0,0
 I10,2018,8290,Manual,6740,Petrol,145,60.1,1.0,0
 I10,2015,5990,Manual,26541,Petrol,30,57.6,1.2,0
 I30,2019,24990,Manual,1600,Petrol,145,34.0,2.0,0
 I10,2019,8290,Manual,12760,Petrol,145,57.6,1.2,0
 I10,2019,7990,Manual,11427,Petrol,145,60.1,1.0,0
 Tucson,2017,16990,Manual,18295,Petrol,145,38.7,1.6,0
 I10,2018,7690,Manual,5703,Petrol,145,60.1,1.0,0
 I10,2018,7690,Manual,10173,Petrol,145,60.1,1.0,0
 Kona,2018,14990,Manual,27317,Petrol,145,52.3,1.0,0
 I10,2018,8490,Manual,7552,Petrol,145,57.7,1.2,0
 I10,2018,8490,Manual,7753,Petrol,145,57.7,1.2,0
 I10,2015,5885,Manual,14566,Petrol,20,60.1,1.0,0
 I30,2015,6990,Manual,54063,Diesel,0,78.4,1.6,0
 Tucson,2016,12495,Manual,41374,Diesel,30,61.7,1.7,0
 Tucson,2017,12995,Manual,17417,Diesel,30,61.7,1.7,0
 I20,2017,8500,Manual,18281,Petrol,30,55.4,1.2,0
 Tucson,2016,16401,Semi-Auto,47347,Diesel,125,57.6,1.7,0
 I800,2018,15499,Manual,33173,Diesel,145,37.7,2.5,0
 Kona,2018,15445,Manual,8764,Petrol,145,44.1,1.0,0
 I20,2017,8000,Manual,31538,Petrol,145,58.9,1.2,0
 Tucson,2018,22000,Automatic,13139,Diesel,145,46.3,1.6,0
 Tucson,2016,14500,Semi-Auto,15589,Diesel,125,57.6,1.7,0
 I10,2017,7500,Manual,12717,Petrol,145,60.1,1.0,0
 I10,2017,7745,Manual,11938,Petrol,145,60.1,1.0,0
 I20,2017,7989,Manual,25103,Petrol,145,58.9,1.2,0
 I30,2018,12989,Manual,12721,Petrol,145,52.3,1.4,0
 I30,2019,23000,Manual,5496,Petrol,150,34.0,2.0,0
 I10,2018,7000,Manual,30001,Petrol,145,57.7,1.2,0
 Tucson,2018,16800,Semi-Auto,32652,Diesel,145,57.7,1.7,0
 Tucson,2018,16900,Semi-Auto,34362,Diesel,145,57.7,1.7,0
 Tucson,2016,14500,Semi-Auto,11653,Diesel,125,57.6,1.7,0
 Tucson,2018,14400,Manual,17287,Diesel,145,61.7,1.7,0
 I20,2017,7490,Manual,21189,Petrol,145,55.4,1.2,0
 I20,2016,7290,Manual,17784,Petrol,30,55.4,1.2,0
 Ioniq,2017,15325,Automatic,14709,Hybrid,135,78.5,1.6,0
 I10,2019,9295,Manual,2000,Petrol,145,49.6,1.0,0
 I10,2019,9295,Manual,2000,Petrol,145,49.6,1.0,0
 I10,2019,9295,Manual,2000,Petrol,145,49.6,1.0,0
 I10,2019,9295,Manual,2000,Petrol,145,49.6,1.0,0
 I10,2018,8995,Manual,18135,Petrol,145,57.7,1.2,0
 I20,2017,8990,Manual,13600,Petrol,30,55.4,1.2,0
 I20,2019,9990,Manual,15251,Petrol,150,46.3,1.2,0
 Tucson,2018,13399,Manual,25148,Petrol,145,44.8,1.6,0
 Tucson,2017,13997,Manual,13943,Diesel,145,61.7,1.7,0
 I20,2018,9989,Manual,22964,Petrol,145,46.3,1.2,0
 I10,2018,6789,Manual,12603,Petrol,145,60.1,1.0,0
 I30,2019,18989,Manual,2122,Petrol,145,42.2,1.4,0
 Kona,2019,19989,Manual,10,Petrol,145,44.1,1.0,0
 Tucson,2019,27989,Semi-Auto,10,Petrol,145,35.8,1.6,0
 I10,2019,9989,Manual,10,Petrol,145,49.6,1.0,0
 Kona,2019,22989,Semi-Auto,10,Petrol,145,37.7,1.6,0
 IX20,2019,14989,Automatic,2122,Petrol,145,34.5,1.6,0
 I20,2016,7989,Manual,30562,Petrol,20,62.8,1.0,0
 I10,2015,5989,Manual,57781,Petrol,30,57.6,1.2,0
 Ioniq,2018,13989,Automatic,54876,Hybrid,140,78.5,1.6,0
 I10,2017,8989,Manual,8786,Petrol,30,57.7,1.2,0
 I10,2017,6989,Manual,13625,Petrol,20,60.1,1.0,0
 I800,2018,15995,Automatic,33999,Diesel,145,33.6,2.5,0
 I10,2018,7990,Manual,8239,Petrol,145,60.1,1.0,0
 Kona,2019,14290,Manual,15391,Petrol,145,44.1,1.0,0
 Tucson,2019,17990,Semi-Auto,9616,Petrol,145,36.2,1.6,0
 Tucson,2019,18290,Semi-Auto,6692,Petrol,145,36.2,1.6,0
 Ioniq,2019,18990,Automatic,11816,Hybrid,135,78.5,1.6,0
 I40,2016,8791,Manual,50820,Diesel,20,67.3,1.7,0
 Tucson,2019,21891,Semi-Auto,2626,Petrol,145,36.2,1.6,0
 IX35,2015,9991,Manual,43439,Diesel,160,51.4,2.0,0
 I800,2018,16280,Manual,33113,Diesel,145,31.7,2.5,0
 Tucson,2016,9580,Manual,53917,Diesel,30,61.7,1.7,0
 IX35,2013,8471,Automatic,49180,Diesel,305,39.2,2.0,0
 Tucson,2019,19489,Manual,4900,Diesel,145,48.7,1.6,0
 I10,2016,5489,Manual,53182,Petrol,20,60.1,1.0,0
 I10,2017,6989,Manual,20945,Petrol,145,60.1,1.0,0
 Tucson,2019,24989,Manual,4426,Hybrid,145,47.9,1.6,0
 Tucson,2019,24989,Manual,7374,Hybrid,145,47.9,1.6,0
 Ioniq,2019,22989,Automatic,5222,Hybrid,135,78.5,1.6,0
 I30,2017,11989,Semi-Auto,20703,Petrol,145,51.4,1.4,0
 I10,2019,9989,Manual,50,Petrol,145,49.6,1.0,0
 I10,2017,8789,Manual,29290,Petrol,145,57.7,1.2,0
 Tucson,2017,13989,Manual,26991,Petrol,145,44.8,1.6,0
 Tucson,2017,15995,Automatic,15000,Diesel,125,57.6,1.7,0
 Tucson,2017,13750,Semi-Auto,24367,Diesel,125,57.6,1.7,0
 IX20,2017,8499,Manual,23195,Petrol,125,50.4,1.4,0
 Tucson,2016,16995,Manual,25910,Diesel,200,47.9,2.0,0
 IX35,2015,8995,Manual,33153,Diesel,145,53.3,1.7,0
 Tucson,2018,14991,Manual,21000,Petrol,145,34.9,1.6,0
 Santa Fe,2017,18991,Semi-Auto,32467,Diesel,235,42.8,2.2,0
 Tucson,2016,17991,Manual,29217,Diesel,200,47.9,2.0,0
 Tucson,2017,13790,Semi-Auto,34757,Diesel,150,57.6,1.7,0
 I30,2015,6992,Manual,43700,Diesel,0,78.4,1.6,0
 Ioniq,2018,18999,Automatic,12045,Hybrid,135,256.8,1.6,0
 I20,2017,8500,Manual,21166,Petrol,20,62.8,1.0,0
 I10,2018,10000,Manual,8985,Petrol,145,57.6,1.2,0
 Ioniq,2017,15989,Automatic,17666,Hybrid,135,78.5,1.6,0
 Kona,2020,13999,Automatic,25446,Hybrid,135,52.3,1.6,0
 Santa Fe,2019,31995,Semi-Auto,4223,Diesel,145,39.8,2.2,0
 I10,2018,7290,Manual,12666,Petrol,145,60.1,1.0,0
 Tucson,2018,17999,Manual,12000,Petrol,150,34.9,1.6,0
 I20,2015,7999,Manual,50000,Petrol,30,55.4,1.2,0
 I30,2018,21999,Manual,19496,Petrol,150,39.8,2.0,0
 I10,2017,7999,Manual,31000,Petrol,145,60.1,1.0,0
 I10,2014,6000,Manual,27397,Petrol,20,60.1,1.0,0
 Tucson,2017,16750,Manual,41617,Diesel,200,47.9,2.0,0
 I20,2016,7750,Manual,27780,Petrol,30,55.4,1.2,0
 IX20,2017,9500,Automatic,18250,Petrol,160,43.5,1.6,0
 I30,2015,7495,Manual,23760,Diesel,0,78.4,1.6,0
 I10,2017,6500,Manual,30282,Petrol,145,60.1,1.0,0
 IX20,2018,10250,Manual,4909,Petrol,150,50.4,1.4,0
 Tucson,2016,12500,Manual,35329,Diesel,30,61.7,1.7,0
 Kona,2018,13295,Manual,16700,Petrol,145,44.1,1.0,0
 I20,2018,9999,Manual,10000,Petrol,145,46.3,1.2,0
 I10,2019,8899,Manual,3123,Petrol,145,49.6,1.0,0
 Kona,2018,12795,Manual,21000,Petrol,145,52.3,1.0,0
 Kona,2019,14399,Manual,5000,Petrol,145,44.1,1.0,0
 I20,2017,10395,Manual,9812,Petrol,145,62.8,1.0,0
 I20,2018,10399,Manual,4200,Petrol,145,46.3,1.2,0
 Tucson,2017,15795,Manual,39620,Diesel,145,61.4,1.7,0
 Kona,2020,15399,Automatic,7000,Hybrid,135,52.3,1.6,0
 I10,2017,7695,Manual,5600,Petrol,20,60.1,1.0,0
 Tucson,2019,26439,Semi-Auto,6000,Diesel,145,40.4,2.0,0
 I20,2018,9699,Manual,3600,Petrol,145,65.7,1.0,0
 Tucson,2017,21599,Manual,28964,Diesel,30,61.7,1.7,0
 I10,2016,7499,Manual,19000,Petrol,20,60.1,1.0,0
 I10,2017,8499,Manual,11000,Petrol,150,60.1,1.0,0
 Kona,2018,16499,Manual,14000,Petrol,150,44.1,1.0,0
 I10,2018,9499,Manual,8000,Petrol,150,60.1,1.0,0
 I10,2017,7990,Manual,12988,Petrol,20,60.1,1.0,0
 I20,2017,7995,Manual,20305,Petrol,30,58.9,1.2,0
 I30,2016,8495,Manual,24146,Diesel,0,78.4,1.6,0
 Tucson,2016,15797,Manual,19500,Diesel,125,58.9,2.0,0
 I10,2018,9000,Semi-Auto,26405,Petrol,145,47.9,1.2,0
 Santa Fe,2017,18894,Semi-Auto,41429,Diesel,145,42.8,2.2,0
 I30,2015,6990,Manual,50047,Diesel,0,78.4,1.6,0
 I20,2016,8500,Manual,29750,Petrol,20,58.9,1.0,0
 Kona,2018,14000,Manual,4896,Petrol,150,52.3,1.0,0
 Tucson,2019,15498,Manual,14844,Petrol,145,34.9,1.6,0
 Kona,2018,11498,Manual,14791,Petrol,145,54.3,1.0,0
 Tucson,2017,14798,Semi-Auto,23487,Diesel,125,57.6,1.7,0
 Tucson,2017,13998,Manual,24107,Diesel,30,61.7,1.7,0
 I10,2017,7259,Manual,29889,Petrol,145,60.1,1.0,0
 I10,2017,7259,Manual,33099,Petrol,145,60.1,1.0,0
 Santa Fe,2017,17599,Semi-Auto,39990,Diesel,235,42.8,2.2,0
 I30,2015,8495,Automatic,49489,Petrol,200,41.5,1.6,0
 I10,2017,7849,Manual,6725,Petrol,145,60.1,1.0,0
 IX20,2016,8277,Automatic,22109,Petrol,160,43.5,1.6,0
 IX35,2013,6998,Manual,46245,Diesel,145,48.7,1.7,0
 I10,2018,7495,Manual,8454,Petrol,145,60.1,1.0,0
 I10,2017,7299,Manual,21107,Petrol,145,60.1,1.0,0
 I10,2017,7259,Manual,35162,Petrol,150,60.1,1.0,0
 Santa Fe,2017,19691,Manual,7493,Diesel,200,47.1,2.2,0
 I10,2018,6981,Manual,9521,Petrol,150,60.1,1.0,0
 I10,2015,5429,Manual,41682,Petrol,20,60.1,1.0,0
 I10,2017,8899,Semi-Auto,31457,Petrol,145,47.9,1.2,0
 Kona,2018,11295,Manual,23000,Petrol,145,54.3,1.0,0
 Kona,2019,14495,Manual,9401,Petrol,145,44.1,1.0,0
 I10,2019,8895,Manual,3011,Petrol,145,49.6,1.0,0
 I10,2018,7750,Manual,19407,Petrol,150,60.1,1.0,0
 Kona,2018,14450,Manual,14839,Petrol,150,44.1,1.0,0
 Tucson,2018,16500,Manual,6210,Petrol,145,34.9,1.6,0
 Santa Fe,2018,29498,Semi-Auto,17496,Diesel,145,39.2,2.2,0
 I10,2019,9298,Manual,1497,Petrol,145,49.6,1.0,0
 I10,2020,12495,Manual,1900,Petrol,145,56.5,1.0,0
 Santa Fe,2019,33495,Semi-Auto,6209,Diesel,145,39.2,2.2,0
 Kona,2018,14495,Manual,18474,Petrol,145,52.3,1.0,0
 IX20,2017,9698,Manual,6368,Petrol,125,50.4,1.4,0
 Tucson,2017,16998,Semi-Auto,20385,Diesel,150,57.6,1.7,0
 IX20,2013,5690,Manual,50227,Petrol,150,45.6,1.4,0
 Tucson,2017,13995,Manual,25117,Diesel,30,61.7,1.7,0
 I10,2018,7995,Manual,5145,Petrol,145,60.1,1.0,0
 I10,2018,7995,Manual,20000,Petrol,145,60.1,1.0,0
 I10,2018,7995,Manual,19702,Petrol,145,60.1,1.0,0
 I10,2018,7995,Manual,22089,Petrol,145,60.1,1.0,0
 I30,2019,24995,Manual,1426,Petrol,145,34.0,2.0,0
 Tucson,2019,21995,Semi-Auto,9750,Hybrid,145,50.4,1.6,0
 Tucson,2019,27995,Semi-Auto,2875,Hybrid,145,50.4,1.6,0
 Tucson,2019,23995,Semi-Auto,2248,Petrol,145,36.2,1.6,0
 I10,2019,9995,Manual,100,Petrol,145,49.6,1.0,0
 I10,2019,8495,Manual,4217,Petrol,145,60.1,1.0,0
 Tucson,2019,22495,Semi-Auto,2475,Petrol,150,36.2,1.6,0
 I20,2016,7995,Manual,42754,Petrol,20,58.9,1.0,0
 I10,2017,6995,Manual,21786,Petrol,145,60.1,1.0,0
 I20,2018,8995,Manual,22875,Petrol,145,58.9,1.2,0
 Tucson,2016,12995,Manual,58626,Diesel,30,61.7,1.7,0
 Ioniq,2020,24995,Automatic,2501,Hybrid,135,62.8,1.6,0
 Santa Fe,2019,30995,Semi-Auto,3200,Diesel,145,39.8,2.2,0
 I10,2018,7495,Manual,20948,Petrol,145,60.1,1.0,0
 I10,2018,7695,Manual,28475,Petrol,150,57.7,1.2,0
 Kona,2019,15995,Manual,357,Petrol,145,44.1,1.0,0
 I10,2019,9995,Manual,450,Petrol,145,49.6,1.0,0
 I10,2019,9995,Manual,450,Petrol,145,49.6,1.0,0
 I30,2019,23995,Manual,7214,Petrol,145,34.0,2.0,0
 I10,2019,9995,Manual,100,Petrol,145,49.6,1.0,0
 Kona,2019,15995,Manual,2658,Petrol,145,44.1,1.0,0
 I20,2017,9190,Manual,20888,Petrol,150,58.9,1.0,0
 I10,2015,7750,Manual,6380,Petrol,30,57.6,1.2,0
 Santa Fe,2016,17000,Manual,20578,Diesel,200,47.1,2.2,0
 I30,2015,9600,Manual,25788,Petrol,235,38.7,1.6,0
 I30,2015,7991,Manual,47588,Petrol,145,48.7,1.4,0
 I20,2016,8500,Manual,29750,Petrol,20,58.9,1.0,0
 I10,2016,5910,Manual,21000,Petrol,20,60.1,1.0,0
 Kona,2018,15995,Manual,19758,Petrol,145,52.3,1.0,0
 I800,2019,20495,Automatic,4733,Diesel,145,31.7,2.5,0
 I30,2019,23995,Manual,3391,Petrol,145,34.0,2.0,0
 Tucson,2018,15495,Manual,10124,Petrol,145,34.9,1.6,0
 I30,2017,11260,Manual,13261,Petrol,145,56.5,1.0,0
 I10,2016,6195,Manual,20956,Petrol,20,60.1,1.0,0
 I30,2015,6691,Manual,51641,Diesel,0,78.4,1.6,0
 I10,2019,9995,Manual,5607,Petrol,145,57.6,1.2,0
 I10,2019,8495,Manual,100,Petrol,145,60.1,1.0,0
 Kona,2019,17295,Manual,5053,Petrol,145,44.1,1.0,0
 I20,2018,10495,Manual,5657,Petrol,145,46.3,1.2,0
 I10,2018,7995,Manual,100,Petrol,145,60.1,1.0,0
 Tucson,2019,18495,Manual,2450,Petrol,145,35.3,1.6,0
 I40,2013,7191,Manual,58232,Diesel,30,65.7,1.7,0
 I20,2017,7497,Manual,17421,Petrol,145,55.4,1.2,0
 I20,2013,6766,Automatic,12508,Petrol,145,47.1,1.4,0
 IX20,2016,8998,Automatic,22978,Petrol,160,43.5,1.6,0
 Tucson,2016,12498,Manual,21037,Diesel,30,61.7,1.7,0
 I30,2013,5798,Automatic,74200,Diesel,165,50.4,1.6,0
 I20,2016,8495,Automatic,28600,Petrol,200,42.2,1.4,0
 Tucson,2016,10495,Manual,30000,Petrol,160,44.8,1.6,0
 I30,2017,11298,Manual,11581,Petrol,145,56.5,1.0,0
 I10,2014,6000,Manual,31500,Petrol,30,57.6,1.2,0
 Tucson,2017,13895,Manual,10587,Diesel,145,61.7,1.7,0
 IX20,2015,7999,Manual,12433,Petrol,125,50.4,1.4,0
 Ioniq,2017,16000,Automatic,19629,Hybrid,0,78.5,1.6,0
 Tucson,2016,11500,Manual,56765,Diesel,30,61.7,1.7,0
 Tucson,2016,15000,Semi-Auto,13769,Diesel,125,57.6,1.7,0
 Santa Fe,2018,30500,Automatic,15157,Diesel,145,39.2,2.2,0
 Tucson,2019,15998,Manual,19231,Petrol,150,34.9,1.6,0
 Tucson,2017,13298,Semi-Auto,38428,Diesel,150,57.6,1.7,0
 I10,2017,6798,Manual,30010,Petrol,145,60.1,1.0,0
 Tucson,2017,13498,Manual,15783,Diesel,30,61.7,1.7,0
 IX35,2015,9995,Manual,47456,Diesel,160,51.4,2.0,0
 Tucson,2017,13735,Manual,19348,Diesel,30,61.7,1.7,0
 IX35,2014,7991,Manual,61243,Diesel,145,53.3,1.7,0
 IX20,2015,6995,Manual,27000,Petrol,125,50.4,1.4,0
 Tucson,2016,12795,Manual,40766,Diesel,30,61.7,1.7,0
 I800,2019,20995,Automatic,19266,Diesel,145,28.0,2.5,0
 Tucson,2018,17495,Semi-Auto,31398,Diesel,145,57.7,1.7,0
 Tucson,2019,18995,Manual,14618,Petrol,145,34.9,1.6,0
 I10,2019,9995,Manual,4587,Petrol,145,49.6,1.0,0
 I10,2019,10295,Manual,4687,Petrol,145,49.6,1.0,0
 Tucson,2019,18995,Manual,100,Petrol,145,35.3,1.6,0
 I10,2019,10295,Manual,4587,Petrol,145,49.6,1.0,0
 I10,2019,9995,Manual,4587,Petrol,145,49.6,1.0,0
 Ioniq,2017,16999,Automatic,11062,Hybrid,0,78.5,1.6,0
 I10,2013,4120,Manual,42186,Petrol,20,61.4,1.2,0
 Santa Fe,2014,11991,Semi-Auto,69059,Diesel,260,41.5,2.2,0
 Tucson,2016,20113,Automatic,33943,Diesel,200,46.3,2.0,0
 I10,2018,8450,Manual,11350,Petrol,145,57.7,1.2,0
 Kona,2018,13100,Manual,9616,Petrol,145,52.3,1.0,0
 I10,2017,6495,Manual,38578,Petrol,145,60.1,1.0,0
 I10,2017,5995,Manual,44013,Petrol,145,60.1,1.0,0
 I10,2018,7495,Manual,30397,Petrol,145,57.7,1.2,0
 Tucson,2017,15600,Manual,47196,Diesel,145,54.3,2.0,0
 I30,2019,15450,Manual,3107,Petrol,145,44.8,1.4,0
 Kona,2019,17650,Manual,5386,Petrol,145,44.1,1.0,0
 Ioniq,2019,15698,Automatic,32975,Hybrid,140,78.5,1.6,0
 I10,2018,8995,Manual,16048,Petrol,150,57.7,1.2,0
 I10,2017,7999,Manual,10500,Petrol,145,57.7,1.2,0
 I800,2016,12711,Automatic,48039,Diesel,325,33.6,2.5,0
 IX35,2015,9691,Manual,23866,Diesel,145,54.3,1.7,0
 I10,2016,6000,Manual,27516,Petrol,20,60.1,1.0,0
 IX20,2017,8650,Manual,37682,Diesel,30,64.2,1.6,0
 I10,2018,7850,Manual,11175,Petrol,145,57.7,1.2,0
 Kona,2018,13100,Manual,14682,Petrol,145,44.1,1.0,0
 I20,2018,10000,Manual,25516,Petrol,150,46.3,1.2,0
 IX35,2015,8498,Manual,49291,Diesel,150,53.3,1.7,0
 Tucson,2017,17798,Semi-Auto,8465,Petrol,150,39.8,1.6,0
 Ioniq,2018,17297,Automatic,1675,Hybrid,135,78.5,1.6,0
 Kona,2019,14750,Manual,13230,Petrol,145,44.1,1.0,0
 Ioniq,2020,22995,Automatic,5,Hybrid,135,62.8,1.6,0
 I30,2019,23997,Manual,15,Petrol,150,34.0,2.0,0
 Tucson,2017,12397,Manual,27473,Diesel,30,61.7,1.7,0
 IX35,2014,9397,Automatic,44205,Diesel,260,41.5,2.0,0
